,total,zero,single,multiple,f_0,f_1,f_mult,f_tot,date
NEG,109636,9705,4001,95930,0.088520194,0.036493488,0.874986318,0.911479806,5_18
POS,119336,8535,4164,106637,0.071520748,0.034893075,0.893586177,0.928479252,5_18
A,114756,13781,3746,97229,0.120089581,0.032643173,0.847267245,0.879910419,5_18
C,98850,2802,3025,93023,0.028345979,0.030601922,0.941052099,0.971654021,5_18
D,117144,21219,4107,91819,0.181136038,0.035059414,0.783813085,0.818872499,5_18
E,154720,37547,3928,113245,0.242677094,0.025387797,0.731935109,0.757322906,5_18
F,127740,11503,4316,11192,0.090050102,0.033787381,0.087615469,0.12140285,5_18
NEG,86972,1944,3812,81216,0.022352021,0.043830198,0.93381778,0.977647979,6_14
POS,77532,5962,2484,69086,0.076897281,0.032038384,0.891064335,0.923102719,6_14
A,129208,4568,4726,119914,0.035353848,0.036576683,0.928069469,0.964646152,6_14
C,121578,7934,4423,109221,0.065258517,0.036379937,0.898361546,0.934741483,6_14
D,50466,2195,2209,46062,0.04349463,0.043772045,0.912733325,0.95650537,6_14
E,148096,6380,5387,136329,0.043080164,0.036375054,0.920544782,0.956919836,6_14
F,96512,4144,3861,88507,0.042937666,0.040005388,0.917056946,0.957062334,6_14
NEG,116674,112307,150,4217,0.962570924,0.001285633,0.036143442,0.037429076,6_30
POS,160916,91321,2714,66881,0.567507271,0.016865942,0.415626787,0.432492729,6_30
A,138962,43992,3630,91340,0.316575755,0.026122249,0.657301996,0.683424245,6_30
C,156772,69849,3601,83322,0.445545123,0.022969663,0.531485214,0.554454877,6_30
D,119862,107205,546,12111,0.894403564,0.004555239,0.101041197,0.105596436,6_30
E,178002,67499,4070,106433,0.379203604,0.022864912,0.597931484,0.620796396,6_30
F,162610,18820,5523,138267,0.11573704,0.033964701,0.85029826,0.88426296,6_30
,,,,,,,,,
