sample,date,A_on,A_off,C_on,C_off,D_on,D_off,E_on,E_off,F_on,F_off
NEG,5_18,0,842,0,1043,0,508,0,279,0,705
POS,5_18,189,792.5,438,1259.5,85,406.5,68,363.5,78,498
A,5_18,751,3134,0,0,0,0,0,0,0,0
C,5_18,0,0,976,2250.5,0,0,0,0,0,0
D,5_18,0,0,0,0,878,2907,0,0,0,0
E,5_18,0,0,0,0,0,0,925,3297,0,0
F,5_18,0,0,0,0,0,0,0,0,621,3215.5
NEG,6_14,0,966,0,747.5,0,524.5,0,328.5,0,717
POS,6_14,309,931,50,271.5,26,228.5,28,205,76,326.5
A,6_14,1212,3525.5,0,0,0,0,0,0,0,0
C,6_14,0,0,239,3652.5,0,0,0,0,0,0
D,6_14,0,0.5,0,0,215,1610,0,0,0,0
E,6_14,5,0,0,1.5,0,1.5,519,4597,0,0
F,6_14,0,0,0,0,0,0,0,0,367,3129.5
NEG,6_30,0,33.5,0,57.5,0,11,0,2.5,0,20.5
POS,6_30,113,633.5,54,564,61,376,20,154.5,94,456.5
A,6_30,894,2944.5,0,0,0,0,0,0,0,0
C,6_30,0,0,167,3054.5,0,0,0,0,0,0
D,6_30,0,0,0,0,69,401.5,0,0,0,0
E,6_30,0,0,0,0,0,4,268,3642,0,0
F,6_30,0,0,0,0,0,0,0,0,1267,4429.5
