construct,sensor,DNA,med1,med2,med3,med
-,511,-,522.3400269,394.0299988,383.1100159,433.1600138
-,506,-,16789.5,15257.9707,15662.46582,15903.31217
752,506,-,151.0599976,127.4000015,126.4900055,134.9833349
744,511,-,141.0500031,123.7600021,111.0200043,125.2766698
744,506,-,145.6000061,121.9400024,118.3000031,128.6133372
751,506,-,152.8800049,129.2200012,123.7600021,135.2866694
755,506,-,8180.900391,6773.130371,6941.47998,7298.503581
746,511,-,458.6400146,399.4900208,371.2799988,409.8033447
746,506,-,2072.070068,1622.530029,1658.930054,1784.51005
753,506,-,11202.10059,9507.680664,9251.060547,9986.947266
string,string,,,,,
