sample,r1_mu1,r1_s1,r1_A1,r1_mu2,r1_s2,r1_A2,r1_fneg,A1+A2,Aneg,Atot,fa1,r2_mu1,r2_s1,r2_A1,r2_mu2,r2_s2,r2_A2,r2_fneg,A1+A2,Aneg,Atot,fa2,r3_mu1,r3_s1,r3_A1,r3_mu2,r3_s2,r3_A2,r3_fneg,A1+A2,Aneg,Atot,fa3
NEG,5.370937075,0.521387015,20443.80131,8.629031102,0.026039838,10.17693547,0.045853397,20453.97825,982.956276,21436.93452,0.000474738,5.458451309,0.584122861,19223.65956,8.168247632,0.173863779,1.649985357,0.078465521,19225.30954,1636.969605,20862.27915,7.90894E-05,5.582420439,0.605422871,22503.15595,8.828724222,0.154651243,2.907210316,0.035288764,22506.06316,823.2630986,23329.32626,0.000124616
POS,5.368805942,0.551035473,20259.39929,8.15286362,0.514444264,841.1090228,0.049398115,21100.50831,1096.489866,22196.99818,0.037892918,5.368254178,0.58537469,18960.07389,8.366160336,0.615285525,980.7991393,0.074683882,19940.87303,1609.462741,21550.33577,0.045512012,5.522102623,0.579977011,21064.17093,8.40796959,0.556865105,1161.192447,0.03698848,22225.36338,853.6579059,23079.02129,0.050313765
A_off,5.81222775,0.489481037,21480.45259,8.0736558,0.092016824,0.895658004,0.019761432,21481.34825,433.0600914,21914.40834,4.08707E-05,6.119829196,0.528838271,23001.2326,8.915374557,0.011839088,0.545520562,0.011533239,23001.77812,268.3802938,23270.15842,2.34429E-05,6.10283876,0.510331454,24267.86534,8.694241471,0.150556472,0.277965198,0.007500242,24268.14331,183.3924247,24451.53573,1.1368E-05
C_off,5.876775218,0.476465915,21694.90678,7.388765903,0.053152003,2.141897766,0.012877518,21697.04868,283.0491058,21980.09779,9.74471E-05,5.984461902,0.496810879,22503.18281,8.173923718,0.052820935,0.551211142,0.017793695,22503.73402,407.6786805,22911.4127,2.40584E-05,6.034738787,0.501817033,24061.88369,8.636396791,0.203435473,1.023332587,0.008385695,24062.90702,203.4906202,24266.39764,4.21708E-05
D_off,5.575518012,0.502337469,20310.14752,9.200094851,0.360136925,14.12456141,0.041594336,20324.27209,882.0634413,21206.33553,0.000666054,5.738219338,0.498138614,19342.01171,7.133343842,0.029535546,2.847616682,0.04429921,19344.85932,896.684394,20241.54372,0.000140682,5.781746812,0.526166272,23003.55119,8.764185296,0.036581987,0.495898315,0.025157587,23004.04709,593.6614045,23597.7085,2.10147E-05
E_off,5.645880065,0.501677112,20555.20903,8.174191707,0.016044055,0.191027574,0.040067989,20555.40006,857.9915347,21413.39159,8.92094E-06,5.673465442,0.500311137,19290.56776,8.117995451,0.028978951,1.313084818,0.05209963,19291.88084,1060.343358,20352.2242,6.4518E-05,5.854939542,0.520682372,16676.93907,8.781317245,0.026867317,0.640753981,0.019639148,16677.57983,334.0947878,17011.67462,3.76655E-05
F_off,5.852091681,0.482910082,21722.0718,8.449818882,0.226007801,1.127111987,0.016890128,21723.19891,373.2111907,22096.4101,5.10088E-05,6.049468149,0.522773717,22540.72406,8.602649872,0.040291009,2.253570868,0.015901613,22542.97763,364.2620612,22907.23969,9.83781E-05,6.093099541,0.495102082,23936.29918,8.464044863,0.017236838,0.253453497,0.009068882,23936.55264,219.0644336,24155.61707,1.04925E-05
A_on,5.732502649,0.53045117,19315.94825,8.220076064,0.495778066,4115.362888,0.018844774,23431.31114,450.0386298,23881.34977,0.172325389,5.863556336,0.593730092,17903.30755,8.451193199,0.543603563,5414.721127,0.020315732,23318.02867,483.5464303,23801.5751,0.227494235,5.997800397,0.553950605,21950.17323,8.416135421,0.450454393,2399.668107,0.009385836,24349.84134,230.7090151,24580.55035,0.09762467
C_on,5.739688686,0.545403594,15770.10473,8.206362885,0.524828741,7967.070373,0.014641988,23737.1751,352.7240076,24089.89911,0.330722447,5.837948415,0.509754716,21208.21921,8.210418394,0.402726688,901.9463293,0.02267343,22110.16554,512.9434807,22623.10902,0.039868363,5.920270749,0.531374622,23055.34785,8.327240746,0.380419163,1089.146607,0.01086549,24144.49445,265.2235407,24409.71799,0.044619385
D_on,5.51185141,0.589736133,20538.132,7.390520868,0.355487324,1859.104421,0.043806386,22397.23642,1026.091333,23423.32775,0.079369782,5.593894417,0.555586062,20701.7825,7.845848291,0.34303199,529.6502116,0.055394868,21231.43271,1245.083668,22476.51637,0.023564604,5.662228729,0.560958272,21387.7279,7.901334709,0.353428541,1189.458414,0.032630367,22577.18631,761.5515943,23338.7379,0.050964984
E_on,5.490755013,0.570698835,17666.21144,8.053592412,0.484332248,2298.492204,0.046276533,19964.70365,968.7265847,20933.43023,0.109800075,5.539865348,0.537519916,19504.76728,8.159665907,0.447253245,598.5209917,0.062658271,20103.28827,1343.839977,21447.12825,0.027906813,5.647520138,0.550198308,12670.4235,8.133087571,0.423291266,324.0761598,0.034316237,12994.49966,461.7684824,13456.26814,0.024083658
F_on,5.702249042,0.528269181,19715.30333,8.36115659,0.501865972,3497.678315,0.021311952,23212.98164,505.4868738,23718.46852,0.147466448,5.823307896,0.537134288,21663.42514,8.455652117,0.495866613,1294.462388,0.026766434,22957.88753,631.401138,23589.28867,0.054875007,5.893225915,0.547583796,17621.3398,8.547826811,0.500671052,2100.667803,0.01459868,19722.0076,292.180727,20014.18833,0.104958931
