rep,log(DNA),Cq,DNA
r1,1.384991482,20.00333333,24.26562501
r1,0.78293149,22.17,6.066406244
r1,0.180871499,24.38666667,1.516601562
r1,-0.421188492,26.55666667,0.379150391
r1,-1.023248484,28.69,0.094787598
r1,-1.625308475,30.98666667,0.023696899
r1,-2.227368466,32.65333333,0.005924225
r1,-2.829428458,34.57333333,0.001481056
r2,1.371356526,20.35666667,23.515625
r2,0.769296535,22.61666667,5.878906255
r2,0.167236543,24.71333333,1.469726562
r2,-0.434823448,26.92333333,0.367431641
r2,-1.036883439,28.95333333,0.09185791
r2,-1.638943431,30.70666667,0.022964478
r2,-2.241003422,32.98,0.005741119
r2,-2.843063413,34.65333333,0.00143528
r3,1.410513625,20.21,25.734375
r3,0.808453634,22.39666667,6.43359375
r3,0.206393643,24.43666667,1.608398438
r3,-0.395666349,26.39,0.402099609
r3,-0.99772634,28.61,0.100524902
r3,-1.599786331,30.99,0.025131226
r3,-2.201846323,33.05666667,0.006282806
r3,-2.803906314,34.65,0.001570702
